Character: H, Font: Arial, Color: Red, Size: 12
Character: e, Font: Calibri, Color: Blue, Size: 14
Character: l, Font: Verdana, Color: Black, Size: 16
Character: l, Font: Roboto, Color: Black, Size: 12
Character: o, Font: Times, Color: Blue, Size: 22
Character: W, Font: Arial, Color: Red, Size: 12
Character: o, Font: Calibri, Color: Blue, Size: 14
Character: r, Font: Verdana, Color: Black, Size: 16
Character: l, Font: Roboto, Color: Black, Size: 12
Character: d, Font: Times, Color: Blue, Size: 22
Character: C, Font: Arial, Color: Red, Size: 12
Character: S, Font: Calibri, Color: Blue, Size: 14
Character: 5, Font: Verdana, Color: Black, Size: 16
Character: 8, Font: Roboto, Color: Black, Size: 12
Character: 0, Font: Times, Color: Blue, Size: 22
Character: 0, Font: Arial, Color: Red, Size: 12
